x,y
-0.4099,-7.7503
17.242,-10.0422
49.7551,-3.2485
22.0147,-6.3721
24.5372,-18.9304
19.4014,7.9664
22.7905,-29.3378
18.4345,-14.645
12.2061,0.1912
17.048,-23.5823
0.4601,15.8794
-2.4039,-29.5507
-1.2602,-9.7061
17.7212,-34
-46.962,-2.8373
-9.2356,-21.9725
0.7794,-20.1442
11.2882,-27.0776
-10.9119,6.076
4.2504,3.8437
18.0626,7.1831
-9.998,-12.5177
-11.2912,-3.1138
-0.2697,-8.502
17.4648,-10.9599
49.7551,-3.2485
21.9493,-6.8136
24.5051,-19.0109
19.8865,7.465
22.2536,-29.8432
17.5822,-14.478
11.5412,0.0959
16.6612,-23.4485
-0.257,15.8214
-3.0452,-29.9651
-1.7249,-10.278
17.7212,-34
-46.962,-2.8373
-8.309,-22.0372
0.6718,-20.9048
10.8393,-27.5237
-10.0017,5.7793
5.1018,3.6957
18.637,7.0558
-9.1016,-12.7456
-10.4247,-3.1452
-0.2139,-8.8027
17.6874,-11.8661
49.7551,-3.2485
21.9255,-6.9872
24.4873,-19.0468
20.3852,6.9465
21.6427,-30.3578
16.6259,-14.2995
10.8639,0.0463
16.0498,-23.2736
-1.0857,15.6908
-3.6917,-30.4313
-2.2352,-10.9032
17.7212,-34
-46.962,-2.8373
-7.4007,-22.16
0.5578,-21.7641
10.4144,-28.0072
-9.0544,5.5691
5.3968,3.6306
19.445,6.8608
-8.2299,-12.9079
-9.4484,-3.2249
-0.3638,-9.3833
17.7747,-12.2389
49.7551,-3.2485
21.9156,-7.0561
24.4786,-19.0645
20.595,6.7348
21.0047,-30.8292
15.6239,-14.1602
10.1341,0.0181
15.3532,-23.0986
-1.9366,15.5376
-4.3648,-30.8951
-2.7685,-11.529
17.7212,-34
-46.962,-2.8373
-6.5336,-22.2731
0.4117,-22.7183
10.0433,-28.4907
-8.7207,5.4861
5.4966,3.6053
19.7965,6.7954
-7.2686,-13.0764
-8.4666,-3.2517
-0.6713,-10.0456
17.6601,-12.9434
49.7551,-3.2485
21.9113,-7.0849
24.4749,-19.0731
20.6831,6.6457
20.7596,-31.0374
15.2482,-14.0794
9.3471,-0.1077
14.6069,-22.8583
-2.3008,15.4693
-4.6363,-31.1004
-3.2437,-12.1678
17.7212,-34
-46.962,-2.8373
-5.5687,-22.3485
0.3113,-23.6251
9.6446,-29.0114
-7.9995,5.3691
5.9053,3.2233
20.2417,6.2682
-6.8189,-13.1781
-7.4927,-3.3084
-0.9952,-10.7574
17.6302,-13.2144
49.7551,-3.2485
22.3797,-7.3055
24.4732,-19.0774
20.7326,6.6132
20.4477,-31.5076
15.1039,-14.0464
9.079,-0.1608
13.8937,-22.6893
